,0
43,"Myanmar thu khoảng 80 triệu USD từ xuất khẩu gạo tấm trong 3,5 tháng Iraq kế hoạch thu mua 306.000 tấn gạo WTO phê duyệt cho Hàn Quốc duy trì thuế nhập khẩu gạo 513%"
44,"Sau khi mất vị trí xuất khẩu gạo số một toàn cầu trong ba năm, Bộ Nông nghiệp và Hợp tác xã Thái Lan đã gặp gỡ các cơ quan liên quan và các nhà xuất khẩu gạo để tìm ra biện pháp lấy lại vị trí hàng đầu, theo tờ Thailand Business News."
45,"Giá gạo xuất khẩu tại Ấn Độ tăng lên mức cao nhất hơn 4 tháng trong tuần này, nhờ nhu cầu tốt từ các quốc gia châu Phi. Trong khi đó, các thị trường tại Thái Lan và Việt Nam gặp khó khăn với sự bùng phát của virus corona mới."
46,"Vụ lúa Đông Xuân 2019-2020 ở ĐBSCL đã thu hoạch từ tháng 12/2019, trong tháng 2/2020 sẽ thu hoạch rộ, đến tháng 3 tiến độ sẽ giảm dần."
47,"Đến 15h ngày 8/2, các địa phương khu vực Trung du và Đồng bằng Bắc bộ đã lấy nước phục vụ gieo cấy vụ Đông Xuân 2019 -2020 đạt 506.745 ha, tương đương 95,4% diện tích gieo cấy của khu vực."
48,"Sau khi được vinh danh, Anh hùng lao động Hồ Quang Cua cho biết chưa bao giờ có cảm giác thoải mái, thay vào đó phải chịu nhiều áp lực ghê gớm."
49,"Giá gạo xuất khẩu của Ấn Độ leo lên đỉnh gần 4 tháng trong tuân này nhờ nhu cầu từ người mua châu Phi tăng, vì lo ngại giá sẽ tiếp tục tăng tại châu Á khi hạn hán kéo dài ở Thái Lan làm giảm nguồn cung."
50,"Hiệp hội các nhà xuất khẩu gạo Thái Lan cho biết khối lượng xuất khẩu trong năm 2020 của quốc gia Đông Nam Á ước giảm xuống mức thấp nhất trong 7 năm, vì đồng baht mạnh làm giảm tính cạnh tranh so với các nhà xuất khẩu khác."
51,"Theo nhận định của Chủ tịch Liên đoàn gạo Campuchia (CRF) Song Saran, ngành gạo của quốc gia Đông Nam Á đang phải đối mặt với thách thức trong việc củng cố chất lượng của gạo thơm."
52,* Giá Ấn Độ tăng lên gần đỉnh trong 3 tháng gần đây * Thị trường Việt Nam đóng cửa trong tuần do đang trong kỳ nghỉ Tết Nguyên đán
53,Quy chuẩn canh tác lúa gạo bền vững được thành lập với trên 100 thành viên đại diện cho chính phủ các nước trồng lúa bao gồm Việt Nam.
54,"Kể từ đầu năm tài chính 2019 - 2020, bắt đầu vào ngày 1/10/2019, Myanmar đã xuất khẩu tới 100.000 tấn gạo mỗi ngày với giá thấp hơn 5 - 10% so với năm ngoái."
55,"Theo Cục Xuất nhập khẩu (Bộ Công Thương), kể từ ngày 1/1/2020, bên cạnh việc phân bổ 20.000 tấn gạo cho tất cả thành viên WTO, Hàn Quốc sẽ dành cho Việt Nam hạn ngạch riêng là 55.112 tấn gạo."
56,"Cho đến những ngày giáp tết, khắp các tỉnh miền Tây đến TP.HCM sức hút gạo ST24 và ST25 ngon nhất thế giới vẫn chưa dứt."
57,"Năm 2019 bên cạnh bảo đảm an ninh lương thực trong nước và đóng góp cho những điểm sáng của bức tranh xuất khẩu, công tác xuất khẩu gạo bên cạnh duy trì “phong độ” vốn có từ nhiều năm qua đã để lại nhiều bài học thành công đặc biệt là sự phối hợp, song hành giữa cơ quan quản lý nhà nước mà trực tiếp là Bộ Công Thương và các doah nghiệp tham gia xuất khẩu gạo."
58,"Một trong số nhiều nguyên nhân là gạo Thái kém đa dạng, 30 năm qua nước này không xuất khẩu bất cứ giống gạo mới nào, trong khi chất lượng giảm sút."
59,"Khi người mua trở thành người bán, Ấn Độ - nhà xuất khẩu gạo lớn nhất thế giới - có thêm một đối thủ mới trên thị trường quốc tế. Từ các nhà hoạch định chính sách tại Udyog Bhawan tới những nhà xuất khẩu gạo xay xát hàng đầu đều cẩn trọng dõi theo Trung Quốc, với những lô gạo đang được đưa vào thị trường châu Phi, vốn được Ấn Độ thống trị."
60,"Bộ Nông nghiệp Philippines (DA) đã chọn kiểm soát hoạt động nhập khẩu và biến động của giá gạo, mặc dù trước đó Tổng thống Rodrigo Duterte cho biết toàn bộ hoạt động nhập khẩu sẽ bị tạm dừng."
61,"Năm 2019, chịu ảnh hưởng của nền kinh tế toàn cầu ảm đạm, thị trường gạo Việt Nam cũng không mấy khả quan dù khối lượng xuất khẩu tăng, nhưng giá trị lại biến động theo chiều hướng ngược lại."
62,"Từ đầu năm đến nay, xuất khẩu gạo của tỉnh Đồng Tháp đạt khoảng 246.107 tấn gạo, với kim ngạch 115 triệu USD (đạt 91% chỉ tiêu kế hoạch năm 2019)."
63,"Giá gạo xuất khẩu Ấn Độ tăng nhẹ trong tuần này vì đồng rupee mạnh và giá lúa địa phương hơn, trong khi thương mại vẫn mỏng tại các trung tâm xuất khẩu bởi mùa lễ hội."
64,"Dự án VnSAT Cần Thơ đã tích cực hỗ trợ các HTX nâng cao năng lực hoạt động và đầu tư, phát triển cơ sở hạ tầng phục vụ SX nông nghiệp mang lại hiệu quả cao."
65,Những bước tiến mới về thể chế theo hướng mở đã nâng tổng số thương nhân đủ điều kiện kinh doanh xuất khẩu gạo lên 182.
66,"Ông Nguyễn Văn Hiền, Chi cục trưởng Chi cục Trồng trọt - BVTV An Giang cho biết, hiện nay việc kiểm tra và quản lý chất lượng lúa giống vô cùng khó khăn."
67,* Việc thu mua đầu cơ dự trữ đã khiến giá xuất khẩu Thái Lan tăng lên * Nhu cầu đối với gạo Ấn Độ ổn định trong bối cảnh lượng thu hoạch đang ở mức cao * Xuất khẩu gạo Việt Nam hiện ở mức 355- 360 USD/tấn * Bangladesh đang cố gắng đạt được các thỏa thuận mua bán ngoại thương
68,Hệ thống thông tin nông nghiệp toàn cầu world-grain trích dẫn báo cáo từ Bộ Nông nghiệp Mỹ cho biết xuất khẩu gạo của Pakistan duy trì ổn định vì đồng tiền nội địa tiếp tục trượt giá so với USD.
69,"Indonesia có kế hoạch xuất khẩu gạo vào năm 2020 thay vì là nhà nhập khẩu ròng, trang world-grain trích dẫn từ Bộ Nông nghiệp Mỹ (USDA) cho biết."
70,"Theo báo cáo từ Cục chế biến và Phát triển thị trường Nông sản, giá lúa, gạo tại khu vực ĐBSCL tăng nhẹ khoảng 100 - 400 đồng/kg trong tháng 11, và dự báo có thể tiếp tục tăng nhẹ trong tháng cuối cùng của năm do nhu cầu tiêu thụ cải thiện và nguồn cung bị thắt chặt"
71,"Đại sứ quán Trung Quốc tại Phnom Penh cho biết Trung Quốc đã cho phép thêm 18 nhà máy Campuchia xuất khẩu gạo vào quốc gia châu Á, nâng tổng số nhà máy được phép tiếp cận thị trường lớn nhất thế giới lên 44."
72,"Giá gạo xuất khẩu Ấn Độ kéo dài đà tăng trong tuần này khi nhu cầu và giá lúa trên thị trường địa phương đi lên, trong khi nhu cầu gạo Thái Lan vẫn bị tổn thương bởi các đối thủ cạnh tranh rẻ hơn."
73,"Từ chợ đến bán hàng trên mạng, đâu đâu cũng có thể thấy ST25 - gạo ngon nhất thế giới, nhưng... mỗi nơi một kiểu. Với các loại gạo khác, người tiêu dùng cũng không thể biết xuất xứ, thật giả, gạo có trộn lẫn hay không..."
74,"Liên đoàn gạo Campuchia, cùng với các nhà xay xát và xuất khẩu, đã ca ngợi hành động phân bổ thêm 50 triệu USD của chính phủ để cứu trợ ngành gạo và ổn định giá các loại gạo chất lượng cao."
75,"Ông Trần Hữu Linh, Tổng Cục trưởng Tổng Cục Quản lí Thị trường cho biết hiện nay, lực lượng quản lí thị trường khu vực phía Nam đang đi kiểm tra một số cửa hàng để lấy mẫu. Tuy nhiên, bản thân gạo ST25 phải có tiêu chuẩn thì mới kết luận được các mẫu này có là giả hay không."
76,"Dự án được thực hiện tại Khu Công nghiệp Nam Đông Hà (phường Đông Lương, TP Đông Hà, Quảng Trị) với mục tiêu xay xát gạo và các hoạt động liên quan đến chế biến gạo."
77,Nhà xuất khẩu gạo Mekong Oryza Trading đã kí Biên bản ghi nhớ (MOU) xuất khẩu với các doanh nghiệp từ Hong Kong và Nam Phi trong đầu tháng 12/2019
78,"Công tác chọn giống lúa của Việt Nam có bước tiến dài với rất nhiều giống lúa chất lượng cao ra đời, trong đó đã có giống đạt tầm cỡ thế giới."
79,"Ông Nguyễn Văn Tỉnh, Tổng cục trưởng Tổng cục Thủy lợi cho biết, Đồng bằng sông Cửu Long có thể bị hạn, mặn sớm hơn, sâu hơn, thậm chí nghiêm trọng hơn năm 2016."
80,"Giá gạo xuất khẩu từ Ấn Độ heo ở mức thấp nhất trong gần ba năm trong tuần này vì nhu cầu yếu khi vụ thu hoạch đang diễn ra. Trong khi đó, người mua Philippines đã bắt đầu kí thỏa thuận mới với Việt Nam dù khối lượng không lớn."
81,"ST25 vang danh gạo ngon nhất thế giới, nhưng những người làm chuyên môn chọn tạo và sản xuất, kinh doanh hạt giống vẫn lo âu về vấn nạn giống giả hiện còn tồn tại, hoành hành."
82,"Giá xuất khẩu gạo Ấn Độ đã giảm xuống mức thấp nhất trong gần ba năm trong tuần này do nguồn cung mới rất lớn từ vụ gieo trồng mùa hè được đưa ra thị trường, trong khi nhu cầu ảm đạm trên thế giới cũng làm giảm xuất khẩu từ các trung tâm lớn khác."
83,"Giá gạo tại Ấn Độ giảm xuống mức thấp nhất trong ba năm trong tuần này do nhu cầu giảm trong khi nguồn cung dồi dào từ vụ thu hoạch mùa hè gần đây. Tại Việt Nam, nhu cầu từ Philippines gia tăng."
84,Báo cáo ngành gạo mới nhất của Bộ Nông nghiệp Mỹ (USDA) cho biết sản lượng gạo thế giới trong năm mùa vụ 2019 - 2020 ước giảm nhẹ so với năm trước. Thương mại gạo cũng được dự báo ảm đạm ở hầu hết các quốc gia xuất - nhập khẩu chính.
85,Bộ Tài chính Philippines cho biết chênh lệch giá gạo và giá lúa lớn gợi ý vấn đề nằm ở khâu giữa của chuỗi cung ứng.
86,"Bộ trưởng Bộ Nông nghiệp và Phát triển nông thôn Nguyễn Xuân Cường cho biết Chính phủ đang đề nghị Quốc hội cho phép giảm diện tích lúa 0,5 triệu héc ta, còn lại chỉ 3,6 triệu héc ta, để nhường đất sản xuất những cây có lợi tức cao hơn cây lúa."
87,"Giá xuất khẩu gạo Ấn Độ giảm tuần thứ hai liên tiếp vì đồng rupee suy yếu và nhu cầu từ châu Phi vẫn ở mức thấp, trong khi một cơn bão đã tàn phá các cánh đồng lúa tại quốc gia láng giềng Bangladesh."
88,"Thay thế vị trí đầu bảng trước đây là Trung Quốc, Philippines và Bờ Biển Ngà hiện là hai thị trường lớn nhất của gạo Việt Nam."
89,
90,"Gặp khó vì thị trường lúa gạo không thuận lợi cùng khoản lỗ khủng sau cổ phần hóa, Tổng công ty Lương thực miền Nam (Vinafood 2) đang muốn bổ sung 3 ngành nghề kinh doanh mới dựa trên lợi thế đất vàng."
91,Đây được xem là một cách hạn chế nhập khẩu gạo tăng vọt trong những tháng gần đây.
92,"Sáng ngày 6/11, Bộ trưởng Nông nghiệp và Phát triển Nông thôn (NN&PTNT) Nguyễn Xuân Cường đã bắt đầu trả lời chất vấn từ các đại biểu Quốc hội."
93,"Đó là một hành trình 20 năm của kỹ sư Hồ Quang Cua với nhóm nghiên cứu lúa Sóc Trăng (ST). Hạt ngọc ấy thì ra bán đầy ở VN.. Sóc Trăng, giá mỗi bọc 5kg 100.000 đồng, Cần Thơ 120.000 đồng... Nhiều bà con Hà Nội 'mê tít'..."
94,"Trong khoảng đầu tháng 11/2019, tình hình dịch hại trên cây lúa như sau:"
95,Chủ tịch Hiệp hội các nhà xuất khẩu gạo Thái Lan cho rằng nếu nông dân nước này không thực hiện lệnh cấm 3 loại hóa chất độc hoặc không giảm việc sử dụng hóa chất thì xuất khẩu gạo sẽ bị ảnh hưởng
96,"10 tháng đầu năm 2019, giá gạo xuất khẩu dù giảm mạnh khiến giá trị thu về cũng sụt giảm theo. Tuy nhiên, tại nhiều thị trường, gạo Việt Nam đang có sự tăng trưởng mạnh về lượng xuất khẩu."
97,"Giá gạo xuất khẩu Thái Lan ít thay đổi trong tuần nay, nhưng các thương nhân hi vọng thỏa thuận với Iraq có thể thúc đẩy xuất khẩu. Trong khi đó, việc thiếu nhu cầu và đồng rupee yếu đã gây áp lực lên giá gạo Ấn Độ."
98,"Trong thời gian qua, cả hai nước xuất khẩu gạo lớn nhất thế giới là Thái Lan và Ấn Độ đều chứng kiến khối lượng xuất khẩu giảm sút."
99,Chủ tịch Hiệp hội các công ty xay xát gạo Thái Lan (TRMA) Kriangsak Tapananon khuyến cáo rằng lượng gạo xuất khẩu của nền kinh tế lớn thứ hai Đông Nam Á này đang giảm sút do cạnh tranh gay gắt về giá.
100,"Giá xuất khẩu gạo của Việt Nam đã leo lên mức cao nhất trong 4 tháng rưỡi trong tuần này nhờ nhu cầu tốt từ châu Phi và Cuba trong khi nguồn cung còn rất ít. Tại Ấn Độ, đồng rupee mạnh hơn đã giúp giá gạo phục hồi từ mức thấp trong 4 tháng."
101,Ngành gạo Thái Lan đang trải qua một trong những giai đoạn đau thương nhất khi đồng baht mạnh khiến xuất khẩu không thể cạnh tranh.
102,"Sản lượng xuất khẩu gạo tiếp tục tăng, nhưng kim ngạch lại giảm khá mạnh. Đây là mặt hàng xuất khẩu truyền thống, phải cạnh tranh để thay đổi, phát triển."
103,"Ngày 16-10, Sở Nông nghiệp và Phát triển nông thôn phối hợp Tổ chức Oxfarm tại Việt Nam, Trung tâm Nghiên cứu tài nguyên và phát triển nông thôn, Viện Chính sách và Chiến lược phát triển nông nghiệp, Phòng Thương mại và Công nghiệp Việt Nam (VCCI) Chi nhánh TP. Hồ Chí Minh tổ chức hội thảo với chủ đề “Vai trò của doanh nghiệp trong phát triển chuỗi giá trị lúa gạo bền vững và toàn diện tại đồng bằng sông Cửu Long”."
104,"Các nhà xuất khẩu gạo Ấn Độ tiếp tục đối mặt với mối đe dọa từ các đối thủ châu Á, như Pakistan và Thái Lan, ngay cả khi sản lượng lúa trong nước mùa vụ kharif (vụ chính) 2018 - 2019 ước tăng 2,5% lên hơn 115 triệu tấn."
105,"Việt Nam hiện là thị trường xuất khẩu gạo đứng thứ hai vào Hong Kong, chỉ sau Thái Lan. Đặc biệt tiềm năng xuất khẩu vẫn còn rất lớn khi gạo Việt đang được khá ưa chuộng tại thị trường này."
106,"Trong tuần này, các nhà chức trách Trung Quốc đã đồng ý tăng tốc độ phê duyệt đơn xin xuất khẩu gạo sang thị trường lớn nhất thế giới của 40 doanh nghiệp Campuchia."
107,"Giá gạo xuất khẩu của Việt Nam đã giảm từ mức cao nhiều tháng trong tuần này do nhu cầu yếu từ Philippines và Trung Quốc, trong khi giá gạo tại Ấn Độ duy trì ổn định khi giao dịch ảm đạm."
108,"Đề xuất tăng thuế đối với gạo nhập khẩu của Bộ Nông nghiệp Philippines đã không được xem xét trong cuộc họp do thiếu những thông tin, số liệu đánh giá."
109,"Trong tuần, ông Keerati Rushchano, Tổng thanh tra của Bộ Thương mại Thái Lan kiêm Vụ trưởng Vụ Ngoại thương của Bộ, cho biết Philippines đã hoãn triển khai một biện pháp bảo hộ nhập khẩu sẽ ảnh hưởng tiêu cực đến gạo Thái Lan."
110,"Ngành nông nghiệp Kiên Giang đã xây dựng thành công 213 cánh đồng lớn trồng lúa, với tổng diện tích 75.000 ha, trong đó có 71.000 ha được ký hợp đồng bao tiêu sản phẩm, giúp nông dân an tâm sản xuất."
111,"Bộ Nông nghiệp Philippines (DA) dự kiến sẽ công bố quyết định cuối cùng về việc liệu quốc gia Đông Nam Á có áp dụng thuế tự vệ chung đối với nhập khẩu gạo để giải quyết vấn đề giá lúa ở mức rất thấp, ảnh hưởng lớn đến sinh kế của nông dân trên toàn quốc."
112,"Diễn biến thời tiết trong vụ sản xuất hè thu (HT) tương đối phức tạp, thuận lợi cho sâu bệnh hại phát triển, nhưng giống lúa Dibar 10377 chỉ bị nhiễm nhẹ, sinh trưởng, phát triển tốt..."
113,Theo Bộ Nông nghiệp Australia việc đưa ra các thay đổi đối với biện pháp giảm thiểu rủi ro để đảm bảo qui trình này vẫn hoạt động hiệu quả trong việc quản lí các lô hàng gạo.
114,"Tổng thư ký Liên đoàn gạo Campuchia (CRF) Lun Yeng cho biết, xuất khẩu gạo của Campuchia sang thị trường quốc tế trị giá hơn 265 triệu USD trong tám tháng đầu năm."
115,"Các thị trường lớn, truyền thống của Việt Nam như Trung Quốc, Indonesia, Banglandesh đều giảm nhập khẩu. Trong khi đó, Trung Quốc liên tục xả kho đã gây khó khăn cho giá gạo của Việt Nam."
116,"Chương trình đảm bảo giá gạo của Thái Lan đã khởi động vào thứ Ba (16/10), với những người nông dân đủ điều kiện dự kiến sẽ nhận được mức giá chênh lệch khi giá thịt trường giảm xuống dưới mức tiêu chuẩn được xác định trước đó."
117,"Giữa tháng 10, tại Tiền Giang, Bộ NN-PTNT tổ chức Hội nghị sơ kết sản xuất vụ thu đông và vụ mùa năm 2019, triển khai kế hoạch xuống giống lúa đông xuân 2019- 2020 ở các tỉnh Đông Nam bộ và ĐBSCL."
118,Liên đoàn gạo Campuchia (CRF) dự đoán giá trị xuất khẩu gạo sang thị trường châu Âu có thể giảm khoảng 10% trong năm nay.
119,"Dự báo giá lúa, gạo trong nước có thể giảm nhẹ do thiếu vắng nhu cầu mới, thị trường xuất khẩu gạo bế tắc trong thời gian tới."
120,"Trong bối cảnh lũ thấp cộng thêm lượng mưa ít, tình hình hạn, mặn năm 2020 ở Đồng bằng sông Cửu Long được dự báo sẽ đến sớm và nặng hơn trung bình nhiều năm."
121,"Ứng dụng công nghệ tiên tiến trong bảo quản, chế biến hiện đang là khâu xung yếu nhất trong chuỗi giá trị lúa gạo Việt Nam."
