,category,price,gov,market,intrinsic,extrinsic,News
211,1,0,0,0,0,0,"VIỆT NAM NHẬP KHẨU GẠO TỪ ĐỐI THỦ ẤN ĐỘ ĐỂ PHỤC VỤ CHĂN NUÔI VÀ SẢN XUẤT BIA Gạo nhập khẩu từ Ấn Độ chủ yếu được sử dụng để sản xuất thức ăn chăn nuôi và cho các nhà máy bia, Reuters dẫn lời một thương nhân kinh doanh gạo tại TP HCM.
"
127,1,0,1,0,0,0,"AN GIANG CẤP MÃ SỐ VÙNG TRỒNG CHO CÁC LOẠI CÂY TRỒNG Theo Chi cục Trồng trọt và Bảo vệ thực vật thuộc Sở Nông nghiệp và Phát triển nông thôn tỉnh An Giang, đến nay toàn tỉnh đã cấp 20 mã số cho các cơ sở đóng gói và 180 mã số vùng trồng trên các loại cây ăn trái và lúa.
"
332,1,2,1,2,1,1,"NGÀNH LÚA GẠO NIGERIA ĐẢM BẢO ĐỦ GẠO TRONG THỜI GIAN PHONG TỎA Hiệp hội nông dân trồng lúa Nigeria (RIFAN) đã đảm bảo với chính phủ Nigeria rằng việc phong tỏa hiện tại do sự lây lan của COVID-19 sẽ không ảnh hưởng đến sản xuất và cung ứng gạo ở nước này.
"
322,1,2,1,0,0,0,"XUẤT KHẨU GẠO NHƯNG PHẢI ĐẢM BẢO AN NINH LƯƠNG THỰC QUỐC GIA Yêu cầu các Bộ, ngành, địa phương tạo điều kiện thuận lợi nhất cho người dân, doanh nghiệp xuất khẩu gạo nhưng phải đảo bảo “an ninh lương thực quốc gia”.
"
190,1,3,1,3,0,1,"THÁI LAN VÀ INDONESIA SẼ KÝ THỎA THUẬN MUA BÁN 1 TRIỆU TẤN GẠO VÀO CUỐI THÁNG 3 Indonesia phải đối mặt với việc thiếu hụt nguồn cung gạo trong nước do thiên tai và ảnh hưởng dịch COVID-19 khiến nước này phải nhập khẩu gạo để phục vụ nhu cầu trong nước và bình ổn giá gạo.
"
114,1,3,0,3,0,0,"ĐÓN THỜI CƠ TĂNG TRƯỞNG XUẤT KHẨU GẠO Theo Bộ Nông nghiệp và Phát triển nông thôn, quý I/2022, kim ngạch xuất khẩu gạo cả nước đạt 715 triệu USD, tăng 10,5% so với cùng kỳ năm 2021. Dự báo, nhu cầu dự trữ lương thực của nhiều quốc gia trên thế giới vẫn tiếp tục tăng trong thời gian tới; cùng đó là gạo Việt Nam ngày càng khẳng định được ưu thế, uy tín trên thị trường quốc tế nên cơ hội tăng trưởng xuất khẩu cho ngành hàng gạo đang rất rộng mở.
"
55,1,3,2,3,0,0,"XUẤT KHẨU GẠO VIỆT NAM SANG BẮC ÂU TĂNG TRƯỞNG ĐẾN 73% NHỜ HIỆP ĐỊNH EVFTA Xuất khẩu gạo sang Bắc Âu đã đạt tốc độ tăng trưởng rất ấn tượng, trung bình 73%/năm trong giai đoạn 2017-2021.
"
185,1,3,1,0,2,0,"CHA ĐẺ' GẠO ST25 MUỐN NHƯỢNG LẠI BẢN QUYỀN GIỐNG CHO NHÀ NƯỚC Thứ trưởng Nông nghiệp & Phát triển Nông thôn cho biết, ông Hồ Quang Cua muốn nhượng lại bản quyền và Bộ sẽ tính nguồn tiền, xin phép Chính phủ mua lại.
"
309,1,0,1,0,0,0,"CAMPUCHIA CHO PHÉP XUẤT KHẨU LẠI GẠO TRẮNG TỪ NGÀY 20/5/2020 Chính phủ Campuchia sẽ cho phép xuất khẩu gạo trắng trở lại bắt đầu từ ngày 20/5/2020.
"
46,1,3,0,3,0,0,"ĐÀI LOAN TĂNG MUA GẠO VIỆT Năm 2022, Đài Loan nhập gạo từ Việt Nam tăng hơn 30% về lượng và gần 19% về giá trị so với năm 2021.
"
179,1,1,3,0,0,0,"XUẤT KHẨU GẠO CỦA THÁI LAN GIẢM 21% TRONG 6 THÁNG ĐẦU NĂM Chủ tịch TREA cho biết gạo Thái Lan đắt hơn đối thủ cạnh tranh và điều đó ảnh hưởng đến doanh số bán hàng, đây là kết quả của việc đồng baht nội địa tăng giá và hạn hán.
"
294,1,3,0,0,0,0,"XUẤT KHẨU GẠO THÁNG 5 TĂNG MẠNH, CƠ HỘI SOÁN NGÔI VƯƠNG CỦA THÁI LAN Bộ Công Thương cho biết xuất khẩu gạo của Việt Nam trong tháng 5 tăng mạnh 47% về lượng và 55,3% về trị giá so với tháng 4, đồng thời tăng 11,7% về lượng và 35,7% về trị giá so với cùng kì năm 2019, đạt 750 nghìn tấn, trị giá 395 triệu USD.
"
100,1,2,1,0,3,0,"NHÂN RỘNG MÔ HÌNH RƠM 'VÀNG' SAU THU HOẠCH Nhân rộng các mô hình sử dụng rơm rạ trong tái sản xuất nông nghiệp là điều cần thiết, vừa hạn chế ô nhiễm, vừa gia tăng giá trị cây lúa từ việc tận dụng nguồn rơm rạ sẵn có trong bối cảnh giá cả thức ăn gia súc, phân bón vô cơ đang ""leo thang""...
"
88,1,3,1,3,0,0,"XUẤT KHẨU GẠO SANG MỸ TĂNG VỌT 5 tháng đầu năm, xuất khẩu gạo sang Mỹ tăng trưởng 71,3%, mức tăng mạnh nhất trong các quốc gia nhập gạo Việt.
"
53,1,1,1,0,0,0,"PHILIPPINES QUYẾT ĐỊNH KHÔNG TĂNG THUẾ NHẬP KHẨU GẠO, CƠ HỘI TỐT CHO GẠO VIỆT NAM Tổng thống Philippines Ferdinand Marcos Jr đã chấp thuận khuyến nghị của Bộ Kinh tế về việc kéo dài thời gian giảm thuế nhập khẩu gạo đến hết năm 2023. Đây là tín hiệu vui cho gạo Việt Nam vốn đang được ưa chuộng tại Philippines.
"
328,1,0,3,0,0,0,"PHÓ THỦ TƯỚNG: TẠM ỨNG TRƯỚC 100.000 TẤN GẠO TỪ HẠN NGẠCH XUẤT KHẨU TRONG THÁNG 5 Phó Thủ tướng Trịnh Đình Dũng yêu cầu tạm ứng trước 100.000 tấn gạo từ hạn ngạch xuất khẩu trong tháng 5/2020 để tháo gỡ khó khăn cho doanh nghiệp hiện có gạo tại cảng nhưng chưa có tờ khai hải quan.
"
152,1,1,0,0,3,0,"GIẢM 50% CHI PHÍ THUỐC BẢO VỆ THỰC VẬT NHỜ MÔ HÌNH 'RUỘNG LÚA BỜ HOA' Áp dụng công nghệ sinh thái qua mô hình ""Ruộng lúa bờ hoa"", ngoài nâng cao hiệu quả kinh tế, người nông dân còn có thể sản xuất những sản phẩm sạch, chất lượng cao.
"
242,1,2,0,0,0,0,"GIÁ LÚA GẠO HÔM NAY NGÀY 21/8: GIÁ GẠO QUAY ĐẦU GIẢM Giá lúa gạo hôm nay tại các tỉnh Đồng bằng sông Cửu Long (ĐBSCL) có sự biến động nhẹ khi giá gạo quay đầu giảm nhẹ ở mức 50 đồng/kg, riêng giá lúa giữ mức ổn so với ngày hôm qua.
"
34,1,3,0,3,0,0,"INDONESIA CÓ THỂ NHẬP KHẨU THÊM 500.000 TẤN GẠO TRONG NĂM NAY Bộ Thương mại Indonesia (In-đô-nê-xi-a) cho biết quốc gia Đông Nam Á này có thể nhập khẩu thêm 500.000 tấn gạo trong năm nay để lấp đầy kho dự trữ gạo quốc gia (CBP) vốn đang giảm dần.
"
289,1,1,3,0,0,0,"PHILIPPINES HỦY KẾ HOẠCH NHẬP KHẨU 300.000 TẤN GẠO Báo chí Philippines đưa tin, Tổng công ty Thương mại quốc tế Philippines (PITC) – đơn vị thuộc Bộ Công nghiệp và Thương mại Philippines (DTI) – đã hủy kế hoạch nhập khẩu 300.000 tấn gạo thông qua hình thức G2G (liên Chính phủ), sau khi thảo luận với Bộ Nông nghiệp nước này (DA).
"
318,1,3,1,0,0,0,"KIM NGẠCH XUẤT KHẨU GẠO SANG ĐÀI LOAN TĂNG VỌT ĐẾN 80% TRONG QUÍ I Việt Nam là đối tác xuất khẩu gạo lớn thứ 3 vào Đài Loan trong quí I năm nay với lượng gạo xuất khẩu tăng hơn 61,5% và giá trị tăng gần 80%.
"
295,1,0,0,0,0,0,"CAMPUCHIA ĐỊNH HƯỚNG BỘ GIỐNG LÚA CHẤT LƯỢNG ĐỂ XUẤT KHẨU Campuchia đã xuất khẩu 356.097 tấn gạo trong năm tháng đầu năm, tăng trên 42% so với cùng kỳ năm 2019 và đang tập trung sản xuất các giống lúa ngon phục vụ xuất khẩu.
"
296,1,3,0,0,1,0,"SẢN LƯỢNG GẠO TOÀN CẦU TRONG NĂM TỚI CÓ THỂ SẼ CAO KỶ LỤC Trong báo cáo mới nhất của Bộ Nông nghiệp Mỹ, sản lượng và tiêu thụ gạo toàn cầu niên vụ 2020/2021 trên toàn cầu sẽ ở mức cao nhất từ trước đến nay.
'"
48,1,3,0,3,0,0,"XUẤT KHẨU GẠO KHỞI SẮC NGAY TỪ ĐẦU NĂM Thông thường vào thời điểm đầu năm xuất khẩu gạo chờ đợi đơn hàng mới nên tốc độ xuất khẩu chậm lại. Tuy nhiên, ngay từ đầu năm 2023, nhiều tín hiệu cho thấy thị trường xuất khẩu gạo có nhiều khởi sắc, doanh nghiệp xuất khẩu đã ký kết được nhiều đơn hàng mới.
"
68,1,3,0,0,1,0,"NÂNG TẦM VỤ LÚA THU ĐÔNG Vụ lúa thu đông canh tác trong điều kiện thời tiết thuận lợi hơn, năng suất cao hơn và giá bán tốt hơn vụ hè thu. Với điều kiện canh tác lúa quanh năm như An Giang, hoàn toàn có thể đưa vụ đông xuân và thu đông thành 2 vụ sản xuất chính trong năm và giảm dần diện tích lúa để vụ hè thu chuyển sang canh tác rau màu và cây lương thực ngắn ngày.
"
80,1,0,0,0,2,0,"PHÁT TRIỂN THƯƠNG HIỆU GẠO AN GIANG NHỜ ĐẢM BẢO HỆ THỐNG TIÊU CHUẨN CHẤT LƯỢNG Nhằm khẳng định thương hiệu gạo An Giang ở thị trường trong nước, UBND tỉnh An Giang đề ra mục tiêu sản lượng xuất khẩu đạt từ 45.000 50.000 tấn nhờ đảm bảo hệ thống tiêu chuẩn trong và ngoài nước.
"
157,1,2,0,0,1,0,"CẦN THƠ: VÀO MÙA THU HOẠCH LÚA THU ĐÔNG Vụ lúa thu đông 2021, nông dân TP Cần Thơ xuống giống với tổng diện tích 69.995ha, đạt 120% kế hoạch và cao hơn 1.306ha so với cùng kỳ 2020.
"
126,1,3,0,0,1,3,"GIÁ GẠO MỸ TĂNG MẠNH DO KHỦNG HOẢNG Ở UKRAINE Giá gạo Mỹ đang tăng nhanh do các thương nhân nhận định gạo sẽ tở thành một lựa chọn thay thế cho lúa mì – vốn đang trở nên quá đắt đỏ - sau khi xung đột Nga – Ukraine gia tăng.
"
241,1,3,2,0,0,0,"XUẤT KHẨU LÔ GẠO ĐẦU TIÊN CÓ THUẾ 0% VÀO EU, GIÁ HƠN 1.000 USD/TẤN CTCP Nông nghiệp Công nghệ cao Trung An (Mã: TAR) đã xuất khẩu lô gạo đầu tiên vào vào EU sau khi Hiệp định Thương mại tự do Việt Nam - EU (EVFTA) có hiệu lực với thuế suất 0%, đặc biệt với giá lên đến hơn 1.000 USD/tấn.
"
28,1,2,1,0,3,0,"MỸ SẼ HỖ TRỢ ĐỀ ÁN 1 TRIỆU HA LÚA GIÁ TỈ ĐÔ LA CỦA VIỆT NAM Bộ trưởng Bộ Nông nghiệp Mỹ Thomas J. Vilsack khẳng định sẽ có một số hình thức hỗ trợ tài chính cho đề án 1 triệu ha lúa chất lượng cao, và giảm phát thải mà Việt Nam đặt mục tiêu đạt được năm 2030.
"
201,1,0,0,0,0,0,BẢN TIN THỊ TRƯỜNG LÚA GẠO THÁNG 12/2020 BẢN TIN THỊ TRƯỜNG LÚA GẠO THÁNG 12/2020
188,1,1,0,0,2,0,"GẠO ẤN ĐỘ “KHOÁC ÁO” GẠO VIỆT, LO KHÁCH THÁO CHẠY Sự chênh lệch lớn về giá giữa gạo Ấn Độ và Việt Nam dẫn đến tình trạng gian lận, giả mạo xuất xứ, gây ảnh hưởng đến uy tín gạo xuất khẩu của Việt Nam.
"
167,1,0,0,0,0,1,"BỘ TRƯỞNG NÔNG NGHIỆP: 'ĐẾN NAY TÔI MỚI BIẾT ĐBSCL SẢN XUẤT LÚA NHƯ THẾ' Chúng ta cứ tự hào về những con số xuất khẩu, nhưng trong lúc dịch bệnh, mới giật mình tự hỏi: Để lấy những thành tích đó, đẩy nông dân vào rủi ro, đổi lấy sự bất trắc có đáng không? Đến hôm nay, tôi mới biết tại sao giá thành sản xuất lúa của tỉnh An Giang lại chênh lệch với Đồng Tháp, Cần Thơ… trong khi thiên thời, địa lợi các địa phương gần như nhau', Bộ trưởng Bộ Nông nghiệp & Phát triển Nông thôn (NN&PTNT) Lê Minh Hoan cho hay.
"
253,1,3,0,0,0,0,"GIÁ LÚA HÈ THU TẠI ĐBSCL BẮT ĐẦU TĂNG DO SẮP HẾT VỤ THU HOẠCH Tại các tỉnh Đồng Tháp, Sóc Trăng… lúa IR 50404 bán tại ruộng tăng lên 5.700 đồng/kg, còn lúa khô IR 50404 ở vụ đông xuân 2019-2020 các chủ vựa trữ lại nay bán có giá 8.200 đồng/kg...
"
202,1,3,3,3,0,0,"GIÁ GẠO XUẤT KHẨU VIỆT NAM TĂNG, ĐẮT NGANG GẠO THÁI Tuần qua, giá gạo xuất khẩu của Việt Nam và Ấn Độ tăng nhờ nhu cầu lớn hơn, trong khi Bangladesh công bố phiên đấu thầu mới để tăng nguồn cung dự trữ.
"
43,1,2,0,0,0,0,"PHILIPPINES SẼ VẪN LÀ KHÁCH MUA GẠO LỚN NHẤT CỦA VIỆT NAM Cả hai nhà xuất khẩu gạo là Campuchia và Thái Lan đều muốn ""lấn sân"" nhiều hơn vào thị trường Philippines trong khi quốc gia này đang nhập 90% từ Việt Nam.
"
277,1,0,1,0,3,0,"CÓ NÊN BỎ ĐIỀU KIỆN KINH DOANH XUẤT KHẨU GẠO? VCCI kiến nghị bỏ điều kiện kinh doanh là bảo hành, bảo dưỡng ô tô, kinh doanh hàng đông lạnh tạm nhập tái xuất, xuất khẩu gạo...
"
183,1,2,0,0,2,0,"TẬP ĐOÀN PAN NHẬN ỦY THÁC BẢO HỘ NHÃN HIỆU ST24 VÀ ST25 TẠI THỊ TRƯỜNG QUỐC TẾ Tập đoàn PAN và doanh nghiệp tư nhân Hồ Quang Trí vừa đạt thỏa thuận hợp tác về việc ủy quyền đại diện làm thủ tục bảo hộ nhãn hiệu gạo ST24 và ST25 tại các thị trường quốc tế trọng điểm về xuất khẩu gạo thương hiệu. Bà Nguyễn Thị Trà My, CEO Tập đoàn PAN khẳng định mục tiêu của việc ủy quyền làm thủ tục bảo hộ là nhằm gìn giữ và phát triển nhãn hiệu nông sản Việt Nam tại thị trường quốc tế.
"
163,1,0,0,0,1,0,"TRUNG QUỐC TẠO ĐỘT PHÁ TRONG VIỆC TRỒNG LÚA: THU HOẠCH SAU 60 NGÀY, SẢN LƯỢNG 9,8 TẤN/HA Theo báo cáo mới đây của Tân Hoa Xã, Viện Nông nghiệp Đô thị thuộc Học viện Khoa học Nông nghiệp Trung Quốc đã hợp tác với Viện Nghiên cứu Lúa Quốc gia Trung Quốc và đạt được thành tựu lớn trong một vụ thu hoạch lúa chỉ với 60 ngày, ở môi trường khu vực thử nghiệm.
"
73,1,3,3,3,0,2,"LỆNH CẤM XUẤT KHẨU GẠO BẤT NGỜ CỦA ẤN ĐỘ TÁC ĐỘNG RA SAO? Chính phủ Ấn Độ vừa cấm xuất khẩu gạo, động thái được ban hành sau chưa đầy 4 tháng cấm xuất lúa mì do mùa vụ thất bát và nguồn gạo dự trữ cạn kiệt.
"
